Date,Close,signal,proba_up
2019-06-12,8127.64,0,0.31755656105939845
2019-06-13,8218.54,0,0.378462332158049
2019-06-14,8650.0,0,0.37219991773681804
2019-06-15,8808.7,0,0.262162661433164
2019-06-16,8953.33,1,0.5648666917086943
2019-06-17,9313.96,0,0.28541723034842087
2019-06-18,9081.55,0,0.320246078584958
2019-06-19,9255.49,0,0.4201895674599703
2019-06-20,9517.12,0,0.379902537377596
2019-06-21,10159.86,0,0.24293500332880955
2019-06-22,10729.5,0,0.29622715759473234
2019-06-23,10906.07,0,0.23100456779777578
2019-06-24,11056.59,0,0.08241823647493453
2019-06-25,11820.86,0,0.13313572132820545
2019-06-26,13093.8,0,0.22033962988379807
2019-06-27,11329.99,0,0.324387594086197
2019-06-28,12400.63,0,0.3300663631355104
2019-06-29,11903.13,0,0.4403364296062053
2019-06-30,10854.1,0,0.29652013267827787
2019-07-01,10624.93,0,0.37694593758704426
2019-07-02,10842.85,0,0.23311065639446427
2019-07-03,11940.0,0,0.1580016710298161
2019-07-04,11145.67,0,0.5208831436154177
2019-07-05,10970.73,0,0.26933549846654115
2019-07-06,11256.49,0,0.1787888657766809
2019-07-07,11406.24,0,0.1600335734517428
2019-07-08,12238.6,0,0.2097588160119246
2019-07-09,12543.41,0,0.1759687493042924
2019-07-10,12108.37,0,0.30650017497122795
2019-07-11,11342.89,0,0.38281342558942805
2019-07-12,11757.22,0,0.43835056451687854
2019-07-13,11355.76,0,0.28369535884360453
2019-07-14,10174.18,0,0.15799440678369406
2019-07-15,10838.72,0,0.26631435586227764
2019-07-16,9439.59,1,0.6353773466907058
2019-07-17,9667.92,0,0.5271276665654208
2019-07-18,10627.16,0,0.24109092181442326
2019-07-19,10504.29,0,0.4681842947998574
2019-07-20,10740.23,0,0.22283354696450455
2019-07-21,10589.45,0,0.3710917051119509
2019-07-22,10340.31,0,0.28336039642855365
2019-07-23,9864.91,1,0.5969702774012472
2019-07-24,9763.28,0,0.5102641110891262
2019-07-25,9879.87,0,0.4755869830641224
2019-07-26,9824.0,1,0.7952462169354297
2019-07-27,9476.52,1,0.7580218416381658
2019-07-28,9541.54,1,0.7398321817289952
2019-07-29,9507.64,1,0.6070222152778194
2019-07-30,9574.21,1,0.6022624377663582
2019-07-31,10080.53,1,0.5659152829471716
2019-08-01,10374.99,1,0.5511877320057262
2019-08-02,10523.75,1,0.643909530028315
2019-08-03,10816.86,1,0.6146215567607606
2019-08-04,10929.23,1,0.7203189378060607
2019-08-05,11828.8,0,0.37151489249845887
2019-08-06,11481.69,0,0.4711179237207254
2019-08-07,11975.03,0,0.27674589465605437
2019-08-08,11999.77,0,0.3182312276454571
2019-08-09,11879.99,0,0.3219856038139669
2019-08-10,11309.31,1,0.7590985079218384
2019-08-11,11549.97,0,0.40535936124552363
2019-08-12,11396.08,1,0.6815749994748395
2019-08-13,10892.71,1,0.5682961100399173
2019-08-14,10050.37,1,0.5332855924099358
2019-08-15,10293.93,1,0.5639880428979999
2019-08-16,10331.54,0,0.3909124426018074
2019-08-17,10216.02,1,0.5778733323188835
2019-08-18,10306.78,0,0.38778362519100323
2019-08-19,10915.54,1,0.560796774768466
2019-08-20,10760.51,0,0.5227722940342
2019-08-21,10142.57,1,0.671480907070378
2019-08-22,10099.88,1,0.768566765727185
2019-08-23,10389.55,1,0.5971506268207222
2019-08-24,10134.35,0,0.4268560423138901
2019-08-25,10142.69,0,0.4409568401280725
2019-08-26,10372.25,1,0.5761525071897112
2019-08-27,10185.05,1,0.7286981388127215
2019-08-28,9721.0,1,0.6025785307192967
2019-08-29,9498.44,1,0.5653584236108993
2019-08-30,9584.54,1,0.6064758044033758
2019-08-31,9587.47,1,0.7339368129276256
2019-09-01,9724.98,1,0.5402500048679755
2019-09-02,10340.0,1,0.5990086587425767
2019-09-03,10615.28,0,0.46624100853429484
2019-09-04,10567.02,1,0.6507900283985897
2019-09-05,10564.49,1,0.7316453345765629
2019-09-06,10298.73,1,0.7810236876817607
2019-09-07,10455.88,1,0.8452478629163886
2019-09-08,10381.18,0,0.4721286387910344
2019-09-09,10303.12,1,0.6841271912263939
2019-09-10,10098.15,1,0.7221533104343012
2019-09-11,10158.33,0,0.49381122883872713
2019-09-12,10415.01,1,0.6543088929393247
2019-09-13,10342.06,1,0.6739848611787115
2019-09-14,10335.02,1,0.54807742169914
2019-09-15,10302.01,0,0.43510227534848167
2019-09-16,10251.31,1,0.6903190582831067
2019-09-17,10187.82,1,0.7364635058584312
2019-09-18,10156.99,1,0.6779427552405414
2019-09-19,10244.29,1,0.8406748090424314
2019-09-20,10168.59,1,0.9121868360554467
2019-09-21,9986.39,1,0.8080325403944901
2019-09-22,10028.87,1,0.617839836417439
2019-09-23,9702.25,1,0.8117331217927142
2019-09-24,8493.14,1,0.7859358571825795
2019-09-25,8430.05,1,0.7227619219928023
2019-09-26,8063.73,1,0.8221684211061702
2019-09-27,8177.91,1,0.6703904101873654
2019-09-28,8198.81,1,0.6925870444674048
2019-09-29,8043.82,1,0.7882199080012794
2019-09-30,8289.34,1,0.7876386768324019
2019-10-01,8292.44,1,0.6620425620655235
2019-10-02,8359.94,1,0.8415408573647029
2019-10-03,8223.96,1,0.6876045137582802
2019-10-04,8137.13,1,0.8137324618331048
2019-10-05,8126.19,1,0.7423848605899449
2019-10-06,7854.25,1,0.8304955768545962
2019-10-07,8190.09,1,0.6217760929614896
2019-10-08,8168.39,1,0.8193183262944927
2019-10-09,8560.74,1,0.5864215209637286
2019-10-10,8558.03,1,0.8153932899399655
2019-10-11,8258.5,1,0.776435807142996
2019-10-12,8300.09,1,0.8160671622353995
2019-10-13,8275.01,1,0.6841103501364707
2019-10-14,8348.2,1,0.6733562626611536
2019-10-15,8159.29,1,0.7139524080283133
2019-10-16,7991.74,1,0.6760007127377983
2019-10-17,8070.58,0,0.48063338714672216
2019-10-18,7947.01,0,0.5208494147964492
2019-10-19,7948.01,0,0.4699690844192145
2019-10-20,8223.35,1,0.6032472689473245
2019-10-21,8197.27,0,0.4803392318817622
2019-10-22,8020.0,1,0.6796051058404347
2019-10-23,7466.62,1,0.8118758031611276
2019-10-24,7412.41,1,0.7540977929427182
2019-10-25,8655.02,1,0.6799253060890015
2019-10-26,9230.0,1,0.7037488649268536
2019-10-27,9529.93,1,0.6782791216276901
2019-10-28,9205.14,1,0.8384649212423949
2019-10-29,9407.62,1,0.6294664352568562
2019-10-30,9154.72,1,0.7361305392910871
2019-10-31,9140.85,1,0.753667027391657
2019-11-01,9231.61,1,0.732772589671436
2019-11-02,9289.52,1,0.7248097264796531
2019-11-03,9194.71,1,0.7384349371970119
2019-11-04,9393.35,1,0.5817992521703311
2019-11-05,9308.66,1,0.620652606697087
2019-11-06,9339.05,0,0.6123934916487724
2019-11-07,9216.2,1,0.634266980686729
2019-11-08,8773.73,1,0.7383011213953905
2019-11-09,8809.41,1,0.7552668238942557
2019-11-10,9039.47,0,0.4455088374032084
2019-11-11,8733.27,1,0.7041502142934467
2019-11-12,8821.94,0,0.32861300918202657
2019-11-13,8777.12,1,0.6214284257000338
2019-11-14,8646.68,1,0.7433929299251342
2019-11-15,8471.73,1,0.6655932657250637
2019-11-16,8491.02,1,0.8214326942667004
2019-11-17,8502.4,1,0.7871415504890243
2019-11-18,8187.17,1,0.8183284563214628
2019-11-19,8133.64,1,0.6464852869924582
2019-11-20,8098.01,1,0.7479548256730867
2019-11-21,7627.74,1,0.7560841047731085
2019-11-22,7268.23,1,0.7964022527820626
2019-11-23,7311.57,1,0.7916035257566848
2019-11-24,6903.28,1,0.7355087506570105
2019-11-25,7109.57,1,0.7747265343781214
2019-11-26,7156.14,1,0.7651627258262942
2019-11-27,7508.52,1,0.6978990961610345
2019-11-28,7419.49,1,0.8298860638533729
2019-11-29,7739.68,0,0.44713721969093023
2019-11-30,7541.89,1,0.643372271571596
2019-12-01,7390.89,1,0.6471821898764806
2019-12-02,7294.28,1,0.6544679865237827
2019-12-03,7292.71,1,0.7517661892460787
2019-12-04,7194.32,1,0.7623546311557555
2019-12-05,7389.0,1,0.6070986233186683
2019-12-06,7527.47,1,0.5387120651599814
2019-12-07,7488.21,1,0.8570000731189304
2019-12-08,7510.11,1,0.7297236023887218
2019-12-09,7338.64,1,0.7346673250690847
2019-12-10,7224.13,1,0.6535653952079777
2019-12-11,7210.0,1,0.7789746474035514
2019-12-12,7198.08,1,0.6742604853333996
2019-12-13,7258.48,1,0.7621549762085843
2019-12-14,7064.05,1,0.6143637880932366
2019-12-15,7118.59,1,0.5875452243756717
2019-12-16,6891.72,1,0.7562469748620754
2019-12-17,6623.82,1,0.6929782530026085
2019-12-18,7277.83,1,0.6628311576958286
2019-12-19,7150.3,1,0.8054820563262934
2019-12-20,7187.83,1,0.7766021658191267
2019-12-21,7132.75,1,0.7347990515801455
2019-12-22,7501.44,1,0.6853908527524949
2019-12-23,7317.09,1,0.7479628547084225
2019-12-24,7255.77,1,0.7048996950596746
2019-12-25,7204.63,1,0.6815724985426829
2019-12-26,7202.0,1,0.6629477131574846
2019-12-27,7254.74,1,0.5770097644097194
2019-12-28,7316.14,0,0.4675624972893066
2019-12-29,7388.24,0,0.3934327323745216
2019-12-30,7246.0,0,0.4085231092704459
2019-12-31,7195.23,0,0.45679497917906453
2020-01-01,7200.85,1,0.6439523777379622
2020-01-02,6965.71,1,0.8466740940843768
2020-01-03,7344.96,1,0.7396865039605671
2020-01-04,7354.11,1,0.7280240564675285
2020-01-05,7358.75,1,0.6065070726386801
2020-01-06,7758.0,1,0.5918610555068949
2020-01-07,8145.28,1,0.746459065404674
2020-01-08,8055.98,1,0.7604020560642987
2020-01-09,7817.76,1,0.8210385878215334
2020-01-10,8197.02,1,0.6558251657387711
2020-01-11,8020.01,1,0.6224713709109275
2020-01-12,8184.98,1,0.5950282525344647
2020-01-13,8110.34,1,0.6117738148419892
2020-01-14,8810.01,0,0.5210677208806274
2020-01-15,8821.41,0,0.47318927155210594
2020-01-16,8720.01,1,0.6772046774116928
2020-01-17,8913.28,0,0.5229099238840098
2020-01-18,8915.96,1,0.552556492969399
2020-01-19,8701.7,1,0.5491015244383023
2020-01-20,8642.35,1,0.6003455992306783
2020-01-21,8736.03,0,0.3716681988361767
2020-01-22,8682.36,0,0.4976644063087433
2020-01-23,8404.52,1,0.6599484813651262
