fold,accuracy,balanced_accuracy,f1_score,roc_auc,log_loss,brier_score
1,0.5066413662239089,0.5044606709080393,0.5373665480427047,0.5089068825910932,0.7900805940021393,0.2894886571582171
2,0.5256166982922201,0.5149619464944649,0.6584699453551912,0.5350841789667897,0.7494530982519272,0.2738232893628926
3,0.5066413662239089,0.5136218645788024,0.5272727272727272,0.5351457155284907,0.7360090989783464,0.2681968499274525
4,0.4971537001897533,0.5185415162454874,0.17445482866043613,0.5610830324909747,0.7867564238221371,0.2898174763821739
5,0.4971537001897533,0.49774599608249803,0.2699724517906336,0.5232313630602604,0.7196268135951056,0.26247754429247816
