Date,Open,High,Low,Close,Volume,Macro_DXY,Macro_VIX,Macro_SPY,Sentiment_FnG,Deriv_Funding_Avg
2018-01-01,13715.65,13818.55,12750.0,13380.0,8609.915844,23.93000030517578,9.770000457763672,268.7699890136719,30.0,0.0001
2018-01-02,13382.16,15473.49,12890.02,14675.11,20078.092111,23.93000030517578,9.770000457763672,268.7699890136719,30.0,0.0001
2018-01-03,14690.0,15307.56,14150.0,14919.51,15905.667639,24.020000457763672,9.149999618530273,270.4700012207031,30.0,0.0001
2018-01-04,14919.51,15280.0,13918.04,15059.54,21329.649574,23.940000534057617,9.220000267028809,271.6099853515625,30.0,0.0001
2018-01-05,15059.56,17176.24,14600.0,16960.39,23251.491125,23.959999084472656,9.220000267028809,273.4200134277344,30.0,0.0001
2018-01-06,16960.39,17143.13,16011.21,17069.79,18571.457508,23.959999084472656,9.220000267028809,273.4200134277344,30.0,0.0001
2018-01-07,17069.79,17099.96,15610.0,16150.03,12493.125558,23.959999084472656,9.220000267028809,273.4200134277344,30.0,0.0001
2018-01-08,16218.85,16322.3,12812.0,14902.54,26600.609912,24.06999969482422,9.520000457763672,273.9200134277344,30.0,0.0001
2018-01-09,14902.54,15500.0,14011.05,14400.0,14315.004253,24.1200008392334,10.079999923706055,274.5400085449219,30.0,0.0001
2018-01-10,14401.0,14955.66,13131.31,14907.09,17411.001655,24.059999465942383,9.819999694824219,274.1199951171875,30.0,0.0001
2018-01-11,14940.0,14968.68,11400.0,13238.78,33554.723751,23.959999084472656,9.880000114440918,276.1199951171875,30.0,0.0001
2018-01-12,13238.76,14109.78,12500.0,13740.01,16417.162137,23.709999084472656,10.15999984741211,277.9200134277344,30.0,0.0001
2018-01-13,13749.95,14580.0,13706.15,14210.0,12221.508528,23.709999084472656,10.15999984741211,277.9200134277344,30.0,0.0001
2018-01-14,14210.0,14339.5,12569.2,13474.99,17017.894329,23.709999084472656,10.15999984741211,277.9200134277344,30.0,0.0001
2018-01-15,13477.98,14249.99,13147.79,13539.93,14652.094705,23.709999084472656,10.15999984741211,277.9200134277344,30.0,0.0001
2018-01-16,13500.0,13542.93,9035.0,10900.0,63401.169175,23.579999923706055,11.65999984741211,276.9700012207031,30.0,0.0001
