Date,Volume,cvd_ma_ratio,day_cos,day_of_week,day_sin,entropy_20d,fear_greed_index,fear_greed_momentum,roc_12,rsi_14,rsi_divergence,vol_50d,vol_5d,vol_risk_premium_pct,volume_change,volume_delta,volume_ma_ratio
2014-09-17,-1.0248334080986476,-0.7995832674150307,-0.31400039058424967,-0.5001482755585515,1.3784859520064376,0.8092051736146231,-0.7555331246391168,-0.09495896966240344,-1.6371754008121688,-1.175071231017022,2.144822977368918,0.2071187302604582,1.167596120865443,0.8008298906580353,1.4226971183564106,-0.01820442548260699,1.0327536162919377
2014-09-18,-1.024186614501122,-0.7995832674150307,-1.2734315207196722,0.0,0.613302510887578,0.8092051736146231,-0.7555331246391168,-0.09495896966240344,-1.6371754008121688,-1.175071231017022,2.144822977368918,0.2071187302604582,1.167596120865443,0.8008298906580353,1.4226971183564106,-0.01865789178516343,1.0327536162919377
2014-09-19,-1.0240210670574368,-0.7995832674150307,-1.2734315207196725,0.5001482755585515,-0.6139564416048483,0.8092051736146231,-0.7555331246391168,-0.09495896966240344,-1.6371754008121688,-1.175071231017022,2.144822977368918,0.2071187302604582,1.167596120865443,0.8008298906580353,0.09350989697754188,-0.018773956921665783,1.0327536162919377
2014-09-20,-1.0240719428482927,-0.7995832674150307,-0.31400039058425006,1.000296551117103,-1.3791398827237085,0.8092051736146231,-0.7555331246391168,-0.09495896966240344,-1.6371754008121688,-1.175071231017022,2.144822977368918,0.2071187302604582,1.167596120865443,0.8008298906580353,-0.2215301278072473,-0.01624820865377797,1.0327536162919377
2014-09-21,-1.0245673326743185,-0.7995832674150307,0.882390659866221,1.5004448266756543,-1.1060490744088458,0.8092051736146231,-0.7555331246391168,-0.09495896966240344,-1.6371754008121688,-1.175071231017022,2.144822977368918,0.2071187302604582,1.167596120865443,0.8008298906580353,-0.8419581996279208,-0.018390970679302305,1.0327536162919377
2014-09-22,-1.0246854776199428,-0.7995832674150307,1.414834767712651,-1.5004448266756543,-0.0003269653586353188,0.8092051736146231,-0.7555331246391168,-0.09495896966240344,-1.6371754008121688,-1.175071231017022,2.144822977368918,0.2071187302604582,1.167596120865443,0.8008298906580353,-0.3806888005731046,-0.016678357228925352,1.0327536162919377
2014-09-23,-1.0236751926107115,-0.7995832674150307,0.8823906598662213,-1.000296551117103,1.1053951436915748,0.8092051736146231,-0.7555331246391168,-0.09495896966240344,-1.6371754008121688,-1.175071231017022,2.144822977368918,0.2071187302604582,1.7107191800203332,0.8008298906580353,1.9948722337583678,-0.015970047484646664,1.0327536162919377
2014-09-24,-1.0243723465450996,-0.7995832674150307,-0.31400039058424967,-0.5001482755585515,1.3784859520064376,0.8092051736146231,-0.7555331246391168,-0.09495896966240344,-1.6371754008121688,-1.175071231017022,2.144822977368918,0.2071187302604582,0.9911295714127569,0.8008298906580353,-0.9455446755390773,-0.01852767524688762,1.0327536162919377
2014-09-25,-1.0245560456770668,-0.7995832674150307,-1.2734315207196722,0.0,0.613302510887578,0.8092051736146231,-0.7555331246391168,-0.09495896966240344,-1.6371754008121688,-1.175071231017022,2.144822977368918,0.2071187302604582,1.068753572636753,0.8008298906580353,-0.460337335411135,-0.018398883981057726,1.0327536162919377
2014-09-26,-1.0248139460974113,-0.7995832674150307,-1.2734315207196725,0.5001482755585515,-0.6139564416048483,0.8092051736146231,-0.7555331246391168,-0.09495896966240344,-1.6371754008121688,-1.175071231017022,2.144822977368918,0.2071187302604582,1.0152687712805628,0.8008298906580353,-0.6460111846091433,-0.018218070270951802,1.0327536162919377
2014-09-27,-1.025123772485906,-0.7995832674150307,-0.31400039058425006,1.000296551117103,-1.3791398827237085,0.8092051736146231,-0.7555331246391168,-0.09495896966240344,-1.6371754008121688,-1.175071231017022,2.144822977368918,0.2071187302604582,1.032355908540252,0.8008298906580353,-0.8931646600068742,-0.01800085131986352,1.0327536162919377
